Date,Open,High,Low,Close,Adj Close,Volume
2017-03-13,152.839996,153.080002,151.800003,151.800003,147.726883,366600
2017-03-14,152.880005,154.839996,152.759995,153.039993,148.933640,391100
2017-03-15,152.119995,153.520004,149.160004,150.240005,146.208755,789700
2017-03-16,149.360001,151.520004,149.360001,150.440002,146.403397,546900
2017-03-17,150.119995,150.919998,149.479996,150.880005,146.831604,385000
2017-03-20,150.800003,151.440002,149.279999,150.279999,146.247696,402500
2017-03-21,148.600006,157.399994,148.160004,157.039993,152.826309,1312800
2017-03-22,156.919998,157.679993,153.520004,154.000000,149.867874,1212700
2017-03-23,154.559998,155.919998,153.320007,155.119995,150.957809,692500
2017-03-24,153.720001,156.000000,151.880005,154.160004,150.023590,820700
2017-03-27,157.559998,158.559998,152.679993,153.440002,149.322906,761500
2017-03-28,153.720001,154.479996,149.279999,150.559998,146.520172,609200
2017-03-29,150.360001,150.800003,148.440002,148.600006,144.612762,469500
2017-03-30,148.679993,149.199997,147.360001,147.839996,143.873138,439400
2017-03-31,148.479996,149.000000,146.960007,148.199997,144.223480,400200
2017-04-03,147.839996,150.919998,146.759995,148.440002,144.457047,744400
2017-04-04,149.800003,149.839996,147.679993,147.759995,143.795303,415600
2017-04-05,147.160004,150.399994,144.559998,149.559998,145.546997,1139500
2017-04-06,149.119995,150.520004,148.199997,149.320007,145.313446,722800
2017-04-07,149.600006,151.199997,148.240005,149.559998,145.546997,665900
2017-04-10,149.199997,150.639999,147.600006,149.399994,145.391296,564600
2017-04-11,149.960007,154.600006,149.240005,151.240005,147.181931,852900
2017-04-12,151.440002,153.720001,151.119995,153.199997,149.089340,618300
2017-04-13,153.839996,155.119995,151.240005,155.039993,150.879944,700100
2017-04-17,153.839996,153.960007,151.199997,151.240005,147.181931,472000
2017-04-18,152.839996,153.080002,150.639999,151.839996,147.765808,533900
2017-04-19,150.080002,151.880005,148.520004,151.199997,147.142990,638400
2017-04-20,149.440002,150.119995,146.479996,147.600006,143.639618,855000
2017-04-21,147.119995,148.679993,146.919998,147.559998,143.600632,489600
2017-04-24,142.759995,143.440002,141.880005,142.279999,138.462326,713000
2017-04-25,140.960007,141.279999,138.440002,139.199997,135.464966,761400
2017-04-26,139.119995,140.000000,138.080002,139.720001,135.971039,572400
2017-04-27,138.720001,139.080002,137.320007,137.320007,133.635452,503700
2017-04-28,135.759995,137.240005,135.479996,136.559998,132.895813,509100
2017-05-01,135.320007,135.399994,132.440002,133.080002,129.509186,625900
2017-05-02,132.479996,133.440002,132.119995,132.320007,128.769623,487400
2017-05-03,133.160004,134.639999,133.119995,133.600006,130.015244,629300
2017-05-04,133.520004,134.800003,132.880005,133.399994,129.820602,608300
2017-05-05,132.440002,133.919998,132.000000,132.000000,128.458160,392300
2017-05-08,131.839996,132.600006,131.119995,131.119995,127.601776,297500
2017-05-09,130.559998,130.839996,128.880005,129.759995,126.278259,798500
2017-05-10,129.600006,130.919998,129.399994,129.559998,126.083633,458200
2017-05-11,130.600006,132.360001,129.759995,129.880005,126.395058,567100
2017-05-12,129.679993,130.000000,128.919998,128.960007,125.499748,426100
2017-05-15,128.919998,129.160004,127.599998,127.800003,124.370857,377000
2017-05-16,126.879997,127.919998,126.199997,126.239998,122.852730,464800
2017-05-17,129.199997,135.880005,128.479996,135.800003,132.156204,1757000
2017-05-18,135.880005,136.479996,130.960007,132.279999,128.730667,1349300
2017-05-19,131.039993,131.119995,128.960007,130.639999,127.134666,757100
2017-05-22,129.839996,129.919998,127.160004,127.320000,123.903755,540600
2017-05-23,126.199997,127.919998,126.199997,127.000000,123.592323,512000
2017-05-24,125.839996,126.919998,125.080002,125.239998,121.879547,443800
2017-05-25,123.760002,124.680000,121.120003,122.080002,118.804344,846000
2017-05-26,121.959999,122.519997,121.279999,121.440002,118.181519,389300
2017-05-30,121.639999,121.839996,120.720001,121.160004,117.909042,364400
2017-05-31,119.959999,123.120003,119.879997,121.360001,118.103661,752200
2017-06-01,120.519997,122.040001,119.760002,119.800003,116.585526,597900
2017-06-02,118.639999,119.199997,115.720001,115.760002,112.653923,1048800
2017-06-05,115.800003,116.360001,115.239998,115.839996,112.731766,371400
2017-06-06,116.160004,117.760002,115.160004,117.239998,114.094208,699100
2017-06-07,116.279999,117.879997,115.599998,115.879997,112.770706,635400
2017-06-08,115.040001,117.400002,114.959999,115.480003,112.381447,749900
2017-06-09,115.080002,128.679993,114.720001,124.000000,120.672821,3290300
2017-06-12,127.199997,130.880005,125.559998,126.120003,122.735947,3680600
2017-06-13,124.000000,126.040001,122.639999,123.160004,119.855370,1688800
2017-06-14,121.720001,127.760002,121.680000,124.720001,121.373505,2392900
2017-06-15,128.639999,130.880005,126.040001,126.440002,123.047356,2308300
2017-06-16,126.720001,129.520004,126.720001,127.959999,124.526573,1098200
2017-06-19,124.519997,125.000000,121.400002,121.800003,118.531860,1328100
2017-06-20,122.160004,124.720001,121.680000,124.559998,121.217804,1126600
2017-06-21,123.839996,124.000000,120.800003,121.000000,117.753319,1202300
2017-06-22,120.480003,122.000000,119.720001,121.040001,117.792252,952600
2017-06-23,121.519997,122.480003,119.239998,119.720001,116.507675,768800
2017-06-26,117.680000,122.120003,117.040001,121.320000,118.064735,1160700
2017-06-27,122.800003,127.959999,122.320000,127.839996,124.409782,1830800
2017-06-28,126.599998,128.800003,122.160004,122.559998,119.271477,1718700
2017-06-29,124.080002,132.399994,124.040001,128.800003,125.344040,2770200
2017-06-30,127.839996,129.960007,126.760002,129.119995,125.655441,1644500
2017-07-03,127.000000,133.080002,126.519997,132.720001,129.158844,1218700
2017-07-05,131.720001,132.960007,127.879997,129.039993,125.577583,1491900
2017-07-06,131.919998,133.800003,130.279999,132.360001,128.808487,2087700
2017-07-07,131.160004,131.160004,127.120003,128.360001,124.915848,1393800
2017-07-10,127.919998,128.960007,124.800003,125.720001,122.346680,893900
2017-07-11,126.320000,127.680000,124.160004,124.720001,121.373505,1016700
2017-07-12,121.440002,122.239998,119.800003,120.239998,117.013718,1395200
2017-07-13,119.839996,120.480003,118.599998,119.480003,116.274117,1346300
2017-07-14,118.040001,119.000000,116.199997,116.680000,113.549240,1460100
2017-07-17,116.360001,117.160004,115.279999,116.519997,113.393539,953100
2017-07-18,116.760002,117.839996,114.120003,114.239998,111.174698,1191300
2017-07-19,113.199997,113.320000,111.680000,112.160004,109.150520,1041400
2017-07-20,111.400002,113.279999,111.080002,111.680000,108.683403,1281600
2017-07-21,112.919998,113.639999,111.800003,111.800003,108.800179,974000
2017-07-24,111.959999,112.360001,110.120003,110.400002,107.437744,896700
2017-07-25,111.400002,112.080002,110.440002,111.160004,108.177368,791700
2017-07-26,110.400002,110.879997,109.959999,110.160004,107.204185,831900
2017-07-27,107.959999,116.000000,107.680000,112.080002,109.072662,3451200
2017-07-28,114.120003,114.800003,111.959999,112.519997,109.500862,1884500
2017-07-31,111.599998,114.720001,111.160004,114.040001,110.980080,1297600
2017-08-01,112.879997,114.279999,112.720001,113.239998,110.201530,995600
2017-08-02,111.080002,115.480003,110.959999,112.360001,109.345154,2206900
2017-08-03,111.919998,114.239998,111.919998,113.599998,110.551865,1601900
2017-08-04,113.040001,114.400002,112.239998,113.080002,110.045830,1326700
2017-08-07,112.400002,112.879997,110.879997,111.000000,108.021645,931600
2017-08-08,111.519997,112.440002,108.800003,111.559998,108.566620,1674100
2017-08-09,114.279999,115.000000,111.800003,111.879997,108.878036,1675400
2017-08-10,113.879997,119.480003,113.639999,119.160004,115.962700,3020900
2017-08-11,118.639999,119.480003,115.680000,116.480003,113.354607,2325500
2017-08-14,113.800003,113.800003,111.400002,112.000000,108.994820,1513700
2017-08-15,111.320000,112.639999,111.080002,111.720001,108.722321,1251400
2017-08-16,110.919998,112.279999,109.559998,111.199997,108.216263,1519700
2017-08-17,112.480003,118.000000,112.000000,118.000000,114.833817,2763500
2017-08-18,117.839996,119.720001,115.839996,118.360001,115.184158,2725200
2017-08-21,118.279999,120.959999,117.519997,118.720001,115.534500,1772200
2017-08-22,116.879997,116.919998,112.959999,113.400002,110.357246,1499800
2017-08-23,115.080002,115.360001,113.800003,114.599998,111.525040,1243600
2017-08-24,113.800003,117.519997,113.400002,115.639999,112.537140,1894700
2017-08-25,114.320000,116.800003,113.440002,116.360001,113.237816,1506700
2017-08-28,115.320000,116.400002,114.440002,115.400002,112.303574,1058400
2017-08-29,118.199997,118.559998,113.360001,113.879997,110.824371,1691900
2017-08-30,113.720001,113.879997,109.400002,110.000000,107.048485,2147000
2017-08-31,109.000000,109.199997,106.440002,106.839996,103.973267,1725500
2017-09-01,106.000000,107.720001,105.599998,106.839996,103.973267,1348500
2017-09-05,107.879997,112.160004,107.160004,109.720001,106.775986,3041700
2017-09-06,108.760002,111.160004,108.000000,108.839996,105.919601,1671600
2017-09-07,108.120003,109.239998,107.199997,108.080002,105.179993,1684400
2017-09-08,108.480003,111.160004,108.320000,110.760002,107.788078,1314600
2017-09-11,108.320000,108.320000,106.480003,107.239998,104.362534,1511500
2017-09-12,106.160004,107.800003,105.839996,106.279999,103.428284,1283100
2017-09-13,106.800003,107.360001,105.800003,105.919998,103.077942,1013000
2017-09-14,107.000000,107.919998,106.160004,107.720001,104.829651,1055600
2017-09-15,107.839996,108.320000,105.440002,106.720001,103.856499,1293600
2017-09-18,106.279999,108.040001,105.279999,107.080002,104.206818,1327900
2017-09-19,106.519997,107.599998,106.080002,106.519997,103.661842,753300
2017-09-20,106.720001,109.959999,106.279999,107.480003,104.596092,1872200
2017-09-21,107.760002,110.639999,107.760002,109.519997,106.581352,1753900
2017-09-22,110.639999,110.919998,109.360001,109.839996,106.892761,1192500
2017-09-25,111.199997,114.959999,111.000000,113.239998,110.201530,2628200
2017-09-26,111.559998,113.639999,110.919998,112.480003,109.461937,1692900
2017-09-27,110.720001,111.519997,108.160004,109.400002,106.464577,1961900
2017-09-28,110.199997,110.959999,109.199997,109.639999,106.698143,1156200
2017-09-29,108.879997,109.760002,107.000000,107.239998,104.362534,1470400
2017-10-02,106.720001,108.400002,105.639999,106.919998,104.051125,1321500
2017-10-03,106.559998,107.199997,105.879997,106.279999,103.428284,1038900
2017-10-04,106.879997,107.160004,105.279999,105.959999,103.116882,1281600
